density,config,reshape_factor,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
high,1024x1024_reshape1_pes20,1,20,1,2,218.20833000015227,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape1_pes20,1,20,1,3,218.1727800000317,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape1_pes20,1,20,1,4,218.17168999996284,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape1_pes20,1,20,1,5,218.17009000005783,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape2_pes20,2,20,0,1,289.6740900000623,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape2_pes20,2,20,0,2,289.6756000000096,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape2_pes20,2,20,0,3,289.6697599999243,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape2_pes20,2,20,0,4,289.67757999998867,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape2_pes20,2,20,0,5,289.6639599998707,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape2_pes20,2,20,1,1,260.20076000008885,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape2_pes20,2,20,1,2,260.2043199999571,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape2_pes20,2,20,1,3,260.20491000008406,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape2_pes20,2,20,1,4,260.20569999991494,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape2_pes20,2,20,1,5,260.1939000001039,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,4,20,0,1,279.6066299999893,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,4,20,0,2,279.61159000005864,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,4,20,0,3,279.60226000004695,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,4,20,0,4,279.60856999993666,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,4,20,0,5,279.6064000001479,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,4,20,1,1,251.73625000002176,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,4,20,1,2,251.75069000010808,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,4,20,1,3,251.74862999983816,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,4,20,1,4,251.73520999987886,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,4,20,1,5,251.74888999981704,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape8_pes20,8,20,0,1,275.4980299998806,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape8_pes20,8,20,0,2,275.50332000009803,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape8_pes20,8,20,0,3,275.5011199999444,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape8_pes20,8,20,0,4,275.50651999990805,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape8_pes20,8,20,0,5,275.49880999981724,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape8_pes20,8,20,1,1,248.23161000017535,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape8_pes20,8,20,1,2,248.22268999992048,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape8_pes20,8,20,1,3,248.22532000007413,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape8_pes20,8,20,1,4,248.2257199999367,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape8_pes20,8,20,1,5,248.22773999994752,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
